,popularity,revenue,vote_average
0,150.437577,2787965087.0,7.2
1,139.082615,961000000.0,6.9
2,107.37678799999999,880674609.0,6.3
3,112.31295,1084939099.0,7.6
4,43.926995,284139100.0,6.1
5,115.69981399999999,890871626.0,5.9
6,48.681969,591794936.0,7.4
7,134.27922900000002,1405403694.0,7.3
8,98.885637,933959197.0,7.4
9,155.790452,873260194.0,5.7
10,57.925623,391081192.0,5.4
11,107.92881100000001,586090727.0,6.1
12,145.84737900000002,1065659812.0,7.0
13,49.046956,89289910.0,5.9
14,99.398009,662845518.0,6.5
15,53.978602,419651413.0,6.3
16,144.448633,1519557910.0,7.4
17,135.413856,1045713802.0,6.4
18,52.035179,624026776.0,6.2
19,120.96574299999999,956019788.0,7.1
20,89.866276,752215857.0,6.5
21,37.668301,310669540.0,6.2
22,94.370564,958400000.0,7.6
23,42.990906,372234864.0,5.8
24,61.226009999999995,550000000.0,6.6
25,100.025899,1845034188.0,7.5
26,198.37239499999998,1153304495.0,7.1
27,64.928382,303025485.0,5.5
28,418.708552,1513528810.0,6.5
29,93.004993,1108561013.0,6.9
30,35.149586,783766341.0,6.7
31,77.68208,1215439994.0,6.8
32,78.530105,1025491110.0,6.4
33,3.857526,459359555.0,6.3
34,89.186492,743559607.0,7.0
35,21.939663,836297228.0,6.0
36,116.840296,1091405097.0,5.8
37,46.985445,491868548.0,5.7
38,89.270217,705717432.0,6.5
39,73.79505,400062763.0,6.3
40,49.98659,559852396.0,5.8
41,51.872839,219851172.0,5.1
42,59.99541800000001,1066969703.0,7.6
43,71.862892,371353001.0,5.9
44,102.32221700000001,1506249360.0,7.3
45,81.834855,531865000.0,6.7
46,118.07869099999999,747862775.0,7.5
47,78.29101800000001,467365246.0,7.4
48,43.349855,197687603.0,5.5
49,61.196070999999996,351040419.0,7.3
50,62.169881000000004,335154643.0,6.2
51,56.523205000000004,407602906.0,6.7
52,28.529607000000002,1123746996.0,6.1
53,75.674458,786636033.0,5.7
54,51.692953,331926147.0,6.6
55,125.114374,538983207.0,6.7
56,65.352913,343471816.0,6.6
