DEPARTURE_DELAY,DISTANCE,ARRIVAL_DELAY,IF_DELAY
-3.0,944,-19.0,0
-4.0,1065,-21.0,0
-6.0,1005,-1.0,0
-3.0,1617,-5.0,0
-10.0,1182,-18.0,0
-1.0,1521,-10.0,0
1.0,1576,15.0,1
-6.0,1185,-12.0,0
0.0,828,8.0,0
-3.0,399,1.0,0
5.0,760,-19.0,0
4.0,502,-1.0,0
0.0,422,18.0,1
-4.0,187,-8.0,0
0.0,1124,2.0,0
1.0,762,-32.0,0
2.0,606,-21.0,0
-3.0,2519,-40.0,0
1.0,765,-32.0,0
124.0,1587,107.0,1
-6.0,271,-20.0,0
-6.0,1931,-10.0,0
5.0,919,-1.0,0
-6.0,481,-28.0,0
-1.0,1947,-20.0,0
-2.0,946,-22.0,0
-1.0,1749,-22.0,0
-10.0,761,-3.0,0
-10.0,1310,-7.0,0
17.0,332,-6.0,0
-5.0,674,-24.0,0
-9.0,409,-19.0,0
-6.0,280,-21.0,0
-3.0,950,2.0,0
10.0,1069,17.0,1
27.0,1598,59.0,1
-8.0,399,-23.0,0
-1.0,772,10.0,1
-5.0,843,-4.0,0
86.0,708,85.0,1
-8.0,946,-20.0,0
-1.0,599,18.0,1
-7.0,419,-2.0,0
-4.0,173,-10.0,0
-8.0,425,-20.0,0
-1.0,341,-10.0,0
-8.0,399,-3.0,0
3.0,557,0.0,0
-4.0,677,-19.0,0
16.0,398,19.0,1
0.0,160,0.0,0
-4.0,323,-11.0,0
-10.0,212,-3.0,0
-4.0,1062,-22.0,0
-8.0,1635,-6.0,0
5.0,1024,0.0,0
-8.0,1635,1.0,0
-3.0,701,-11.0,0
19.0,701,24.0,1
-7.0,216,-4.0,0
-5.0,427,3.0,0
-4.0,948,-7.0,0
-5.0,530,-12.0,0
0.0,661,-5.0,0
-9.0,407,-8.0,0
0.0,1457,-29.0,0
102.0,982,86.0,1
-2.0,502,58.0,1
3.0,1119,35.0,1
-9.0,373,-2.0,0
0.0,300,8.0,0
4.0,751,6.0,0
-8.0,268,-29.0,0
-4.0,397,-4.0,0
-3.0,462,2.0,0
-4.0,1504,-16.0,0
-3.0,748,3.0,0
-10.0,838,-19.0,0
-10.0,153,-3.0,0
39.0,674,30.0,1
4.0,174,5.0,0
54.0,86,88.0,1
-1.0,391,-1.0,0
0.0,158,7.0,0
-5.0,990,-11.0,0
1.0,852,4.0,0
4.0,230,9.0,0
-10.0,250,10.0,1
22.0,216,12.0,1
-9.0,342,-23.0,0
-4.0,620,-1.0,0
10.0,196,-1.0,0
-3.0,451,-7.0,0
-4.0,641,9.0,0
-5.0,77,-12.0,0
4.0,590,-6.0,0
-2.0,306,-21.0,0
-3.0,329,-6.0,0
-1.0,844,33.0,1
-9.0,2565,-23.0,0
