budget,id,popularity,revenue,runtime,vote_average,vote_count,if_popular
145000000,80321,44.989192,746921274,93,6.4,1808,0
140000000,36669,54.159392,431971116,133,5.8,1092,0
144000000,43074,66.21806,229147509,116,5.3,2142,0
140000000,95,58.485967,553799566,151,6.4,2482,0
140000000,608,91.332849,441818803,88,6,3114,0
70000000,2310,35.601665,195735876,115,5.5,841,0
145000000,140300,56.747978,521170825,95,6.7,1603,0
145000000,56292,77.77477,694713380,133,6.8,3972,0
145000000,81188,61.788035,306941670,97,7.1,1922,1
100000000,7552,25.159168,202026112,90,5.9,627,0
140000000,616,52.341226,456758981,154,7.3,1895,1
140000000,147441,101.599427,268031828,150,5.6,1921,0
150000000,13475,73.616808,385680446,127,7.4,4518,1
139000000,557,82.502566,821708551,121,6.8,5265,0
145000000,82702,100.21391,609123048,102,7.6,3106,1
140000000,205584,56.257249,150680864,127,5.3,1277,0
135000000,10048,17.88953,76932943,121,4.9,331,0
130000000,13183,64.798873,185258983,163,7,2811,1
140000000,944,24.855701,285444603,127,6.3,767,0
137000000,1927,34.981698,245360480,138,5.3,1533,0
130000000,72559,59.325589,371876278,110,5.4,3025,0
130000000,7364,21.605568,119269486,124,5.7,434,0
137000000,2114,26.074908,85131830,106,5.9,433,0
140000000,1771,74.506246,370569774,124,6.6,7047,0
135000000,36643,39.604363,361832400,128,6,862,0
150000000,8619,36.973031,212011111,138,6.9,790,0
120000000,50620,99.687084,829000000,115,6.1,2553,0
130000000,65759,17.7735,150406466,100,5.8,373,0
150000000,1724,62.898336,163712074,114,6.1,3021,0
140000000,267935,44.19092,183345589,120,6,1000,0
135000000,281957,100.635882,532950503,156,7.3,6396,1
135000000,77950,44.765377,282570682,96,6.1,1074,0
135000000,44896,29.91353,245724603,107,6.6,2051,0
132000000,270946,84.366984,373552094,92,6.5,1346,0
70000000,2503,45.381501,442824138,115,7.3,2888,1
130000000,9502,84.689648,631744560,90,6.9,3145,0
130000000,102899,120.09361,519311965,117,7,5880,1
130000000,101299,76.310119,847423452,146,7.4,6495,1
135000000,228161,63.473086,368871007,94,6.8,1519,0
132000000,74,48.572726,591739379,116,6.2,2322,0
130000000,8961,38.068736,273339556,147,6.3,1564,0
130000000,417859,20.678787,554987477,90,6.4,451,0
110000000,27576,48.829437,293329073,100,6.2,2093,0
125000000,86834,46.115758,362637473,139,5.6,2350,0
130000000,17578,89.938296,371940071,107,6.7,2061,0
130000000,673,79.679601,789804554,141,7.7,5877,1
130000000,6972,28.840997,49554002,165,6.3,694,0
130000000,82700,42.840582,243843127,100,5,2532,0
127500000,10567,26.548594,354248063,82,6.2,542,0
127000000,181533,115.597753,349424282,97,6.1,1851,0
130000000,38055,68.757242,321887208,95,6.7,1918,0
125000000,671,109.984351,976475550,152,7.5,7006,1
130000000,49524,39.448066,61648500,96,5.4,1260,0
140000000,22,271.972889,655011224,143,7.5,6985,1
125000000,131631,206.227151,752100229,123,6.6,5584,0
125000000,591,45.313197,767820459,149,6.5,2704,0
103000000,172385,42.40024,500188435,102,6.3,978,0
110000000,36658,2.871739,407711549,133,6.8,3506,0
125000000,51497,7.255718,626137675,130,7.1,2438,1
125000000,58574,81.499621,334615000,129,7,3886,1
125000000,18823,47.686442,232713139,106,5.6,2233,0
65000000,861,43.129703,261317921,113,7.1,1710,1
160000000,1911,27.220157,61698899,102,6.4,510,0
130000000,49040,90.33681,276572938,120,6,2651,0
125000000,415,50.073575,238207122,125,4.2,1418,0
123000000,8871,45.419668,345141403,104,6.2,1386,0
125000000,435,41.380094,544272402,124,6.2,2392,0
125000000,955,54.931334,546388105,123,5.9,1928,0
120000000,2133,25.752118,325756637,130,6.2,597,0
130000000,1979,60.810723,289047763,92,5.4,2589,0
120000000,87827,51.328145,609016565,127,7.2,5797,1
110000000,1250,46.834704,228738393,114,5.2,1712,0
120000000,324668,62.641286,415484914,123,5.9,2341,0
120000000,9471,33.616115,259175788,106,5.2,914,0
130000000,70981,68.889395,403170142,124,6.3,5080,0
120000000,10996,27.990284,169956806,78,5.4,613,0
115000000,68724,67.33767,286140700,109,6.4,3439,0
105000000,2789,27.835436,115772733,119,6.3,1570,0
120000000,97020,66.757869,242688965,102,5.7,2342,0
120000000,7459,17.060695,93945766,135,5.7,354,0
120000000,42888,11.137655,48668907,121,4.9,223,0
117000000,37834,44.906918,261930431,109,5.9,1547,0
120000000,75612,67.698004,286168572,124,6.4,4800,0
113000000,1895,44.108427,850000000,140,7.1,4116,1
120000000,1894,43.987061,649398328,142,6.4,3992,0
115000000,585,106.815545,562816256,92,7.5,5996,1
120000000,76170,15.953444,415440673,126,6.3,4053,0
115000000,1893,54.035265,924317558,136,6.3,4432,0
135000000,49519,64.183321,585178928,98,6.8,2399,0
97250400,2395,20.344364,132900000,116,5,471,0
115000000,12100,18.714197,77628265,134,5.8,341,0
115000000,290595,60.467984,164602163,114,6,1523,0
125000000,98566,143.350376,477200000,101,5.8,2636,0
105000000,49047,110.153618,716392705,91,7.3,5751,1
116000000,9619,16.90444,178127760,108,5.7,428,0
135000000,308531,39.873791,245623848,112,5.8,963,0
120000000,166424,38.126095,167977596,100,4.4,2278,0
110000000,1593,48.780039,574480841,108,6.3,2862,0
110000000,254128,100.412364,470490832,114,6,2968,0
110000000,714,42.887121,333011068,119,6,925,0
110000000,2024,23.657284,215294342,165,6.8,1099,0
110000000,163,76.840712,362744280,125,6.4,2124,0
110000000,787,44.635452,478207520,120,6.5,2965,0
110000000,262500,103.718387,295238201,119,6.2,3829,0
116000000,2567,45.616098,102000000,170,7,1489,1
112000000,38745,22.845143,237382724,85,4.9,621,0
120000000,40805,31.703608,227817248,119,5.5,1251,0
110000000,53182,71.510596,337580051,102,6.1,2397,0
110000000,41513,36.65422,563749323,103,5.5,1179,0
110000000,13700,19.625972,103951461,76,5.7,389,0
110000000,262504,86.105615,179246868,121,5.9,1998,0
110000000,39254,37.195046,299268508,127,6.6,2692,0
105000000,77931,32.473628,347434178,105,5.5,695,0
160000000,1639,23.336875,164508066,121,4.1,434,0
110000000,80274,45.94834,125537191,114,6.6,2303,0
110000000,1571,48.93337,383531464,128,6.4,2089,0
93000000,120,138.049577,871368364,178,8,8705,1
110000000,10204,22.643776,72178895,120,5.7,672,0
107000000,8489,18.866672,87713825,157,6.7,447,0
0,10588,18.251129,0,82,4.9,366,0
120000000,2048,95.914473,347234916,115,6.7,3793,0
130000000,1495,44.490453,211643158,144,6.6,1157,0
133000000,10137,30.475297,300135367,84,5.8,959,0
105000000,10198,62.479574,267045765,97,6.7,1247,0
108000000,286217,167.93287,630161890,141,7.6,7268,1
126000000,1635,37.68056,162949164,136,6.5,1770,0
90000000,24113,1.004579,10372291,104,3.7,16,0
90000000,9679,52.995628,237202299,118,6.1,1485,0
103000000,98,95.301296,457640427,155,7.9,5439,1
102000000,180,65.948959,358372926,145,7.1,2608,1
100000000,672,132.397737,876688482,161,7.4,5815,1
150000000,36557,88.935165,599045960,144,7.3,3855,1
100000000,869,51.188633,362211740,119,5.6,1243,0
100000000,280,101.74155,520000000,137,7.7,4185,1
80000000,11322,33.691694,214104620,140,6.5,1344,0
100000000,4982,42.361215,266465037,157,7.4,1502,1
115000000,36955,38.729418,378882411,141,6.8,1116,0
100000000,18487,40.597856,150166126,106,6.2,954,0
100000000,39451,32.389353,310650585,98,5.4,1060,0
100000000,27581,24.399642,170432927,107,6.1,1383,0
100000000,9268,24.507987,242295562,115,5.6,543,0
100000000,68718,82.121691,425368238,165,7.8,10099,1
100000000,10545,46.727941,100138851,91,6.8,1129,0
100000000,11688,51.113717,169327687,78,7.2,1490,1
100000000,76163,53.732892,312573423,103,6.1,2896,0
100000000,2059,58.849256,347451894,131,6.4,1926,0
100000000,2486,30.863434,249288105,104,4.9,967,0
100000000,16523,31.586215,100086793,101,6.4,572,0
100000000,116711,36.711378,268426634,102,6.4,1121,0
100000000,37710,41.426678,278731369,103,6,1699,0
100000000,9946,20.652943,211989043,121,5.5,482,0
100000000,1372,52.792678,170877916,143,7.3,2281,1
100000000,106646,95.007934,392000694,180,7.9,6571,1
100000000,414,48.205606,336529144,121,5.2,1498,0
105000000,563,58.782359,121214377,129,6.7,1560,0
102000000,83542,73.872343,130482868,172,6.6,2977,0
80000000,41216,37.321848,140073390,97,6.5,703,0
100000000,314,32.271938,82102379,104,4.2,808,0
100000000,184315,76.842247,243400000,99,5.6,1680,0
140000000,9016,38.924136,109578115,95,7.2,948,1
100000000,18162,19.38841,68688831,102,5.3,381,0
90000000,138103,61.025639,206172544,127,6.1,1795,0
105000000,257088,33.507289,133718711,114,5.5,783,0
84000000,10214,17.815595,0,94,3.6,338,0
100000000,205775,50.767332,93820758,122,6.5,1276,0
100000000,11692,12.092241,7103973,95,4.4,142,0
100000000,22972,30.254021,94882889,115,6.4,717,0
99000000,227973,34.308098,246233113,88,6.5,604,0
10000000,29193,3.091077,13835130,110,7.1,73,1
98000000,1734,41.862983,433013274,130,6,2206,0
100000000,3131,46.160048,193772504,167,7.1,1910,1
94000000,76758,12.516546,95311434,145,7.1,187,1
85000000,9408,23.230851,149044513,85,5.9,601,0
90000000,9890,19.224754,102000000,93,5.4,334,0
92000000,855,44.455166,172989651,144,7.2,1811,1
0,77953,16.460356,104907746,85,5.6,578,0
90000000,18,109.528572,263920180,126,7.3,3885,1
100000000,37786,18.325897,288347692,146,5.4,426,0
95000000,10501,37.054554,76432727,89,7,858,1
95000000,57800,65.229868,877244782,88,6.2,2672,0
95000000,150689,101.187052,543514353,105,6.7,2374,0
65000000,7980,29.257137,93525586,136,6.6,1065,0
94000000,12,85.688789,940335536,100,7.6,6122,1
94000000,122,123.630332,1118888979,201,8.1,8064,1
79000000,121,106.914973,926287400,179,8,7487,1
95000000,68737,63.628459,114178613,102,5.2,957,0
115000000,1995,41.498631,274703340,100,5.7,2192,0
100000000,157353,58.991388,103039258,119,5.9,2295,0
93000000,331,1.859364,368780809,92,5.7,2077,0
93000000,61791,138.433168,482860185,105,7,4347,1
90000000,8204,21.436682,162839667,95,6.3,572,0
92000000,47964,65.402595,304654182,98,5.2,3493,0
145000000,10733,10.660441,25819961,137,5.8,106,0
92000000,9806,77.817571,631442092,115,7.4,5152,1
98000000,1408,7.029308,10017322,119,5.7,136,0
95000000,32657,61.121717,226497209,118,6,2010,0
90000000,607,104.121555,589390539,98,6.9,4412,0
90000000,863,73.575118,497366869,92,7.3,3806,1
100000000,44048,37.698465,167805466,98,6.3,1165,0
90000000,5175,35.814765,347325802,90,6.4,1054,0
100000000,2655,15.835672,155464351,130,6.3,488,0
100000000,22794,46.781182,242988466,90,6.5,1747,0
90000000,8355,69.457898,886686817,94,6.5,2271,0
90000000,116745,43.348022,188133322,114,7,3144,1
92000000,4327,40.20395,264105545,98,5.6,1232,0
90000000,1422,63.429157,289847354,151,7.9,4339,1
90000000,10674,67.427755,304320254,88,7.6,2008,1
92000000,7446,43.192048,188072649,107,6.5,1667,0
90000000,65754,47.651083,232617430,158,7.2,2434,1
90000000,1572,51.881077,366101666,128,6.9,2066,0
90000000,10528,57.834787,524028679,128,7,5766,1
100000000,271969,29.608322,94061311,125,5.3,621,0
120000000,10865,51.548589,186053725,95,6.7,1224,0
0,258509,27.867368,233755553,92,5.8,428,0
75000000,2253,38.832842,200276000,121,6.7,1173,0
90000000,10661,40.597344,201596308,113,5.5,1048,0
88000000,257344,140.849495,243637091,105,5.6,2513,0
100000000,644,34.035114,235926552,146,6.8,1974,0
90000000,10756,16.302378,182290266,99,5.2,466,0
90000000,686,55.249434,171120329,150,7.2,1308,1
95000000,9383,28.200874,190213455,112,5.6,634,0
80000000,179,18.69984,162944923,128,6.2,392,0
90000000,76285,40.262261,174578751,106,5.9,1648,0
95000000,1996,56.811056,156505388,117,5.5,1418,0
90000000,291805,51.535701,334901337,129,6.7,3235,0
68000000,10003,20.913852,118063304,116,5.9,302,0
92000000,1535,27.166757,143049560,126,6.8,579,0
90000000,2067,16.058284,60874615,114,5.7,369,0
90000000,46195,46.200042,484635760,96,6.5,2166,0
100000000,2277,24.939295,93700000,131,6.9,963,0
90000000,10357,19.836124,0,104,5.2,376,0
90000000,4477,15.350451,140807547,107,5.9,290,0
100000000,8665,15.625949,35168966,138,6.1,264,0
20000000,9387,31.802807,79114085,129,6.6,650,0
88000000,921,24.100863,108539911,144,7.3,616,1
90000000,49852,3.593349,16178959,110,5.4,50,0
87000000,4464,14.824166,148336445,141,6.7,216,0
92000000,664,32.079995,494471524,113,6.1,950,0
90000000,8358,57.739713,429632142,143,7.5,3218,1
100000000,9836,37.272385,384335608,108,5.9,1410,0
75000000,2502,53.213931,288500217,108,7.2,2825,1
85000000,9772,36.38795,315156409,124,6.2,840,0
85000000,161,60.929352,450717150,116,7.2,3783,1
75000000,52451,36.605246,132274484,110,5.6,924,0
85000000,76492,56.257411,358375603,91,6.8,2566,0
85000000,4523,29.21998,340487652,107,6.6,1449,0
85000000,59961,34.773106,208076205,115,6.3,1345,0
85000000,10481,9.895061,183611771,100,5.1,313,0
75000000,59108,36.743324,152930623,104,5.8,932,0
85000000,1581,44.967453,194168700,136,6.7,1225,0
90000000,9798,41.207568,250649836,132,6.7,1240,0
85000000,22897,16.479851,219103655,121,6.2,360,0
85000000,298,42.069993,311312624,122,6.5,1999,0
85000000,7484,26.61951,197309027,83,6.1,656,0
85000000,157350,80.316463,288747895,139,6.9,4663,0
68000000,853,41.273567,96976270,131,7.2,999,1
85000000,10159,24.107835,80916492,104,6.4,514,0
85000000,9593,32.044191,137298489,130,6.1,712,0
85000000,1904,16.595874,162242962,145,7.3,652,1
85000000,9615,8.282876,158468292,104,6.1,1705,0
0,51052,19.83683,0,97,6.7,333,0
90000000,297,36.069611,142940100,178,6.9,1147,0
85000000,9884,18.827753,78382433,108,5.5,427,0
0,16858,5.159407,37823676,123,7.3,85,1
85000000,62764,48.126297,183018522,106,5.5,1114,0
60000000,22538,38.885195,47664559,112,7.2,2126,1
60000000,9341,29.211255,74208267,136,5.4,516,0
84000000,12107,17.783361,123307945,106,4.7,332,0
84000000,9637,31.435539,275650703,88,5.4,820,0
50000000,49049,57.673932,41037742,95,6.6,1940,0
82500000,9339,41.176631,237681299,107,6,2104,0
8000000,16281,13.661289,21028755,120,6.7,226,0
85000000,39691,11.77398,112483764,82,4.9,119,0
85000000,8247,21.218,222231186,88,5.9,1799,0
85000000,11253,58.57976,160388063,120,6.5,1527,0
65000000,1949,51.970905,84785914,157,7.3,2023,1
82000000,8452,18.447479,96085477,123,5.7,595,0
80000000,310,109.684788,484572835,101,6.4,3012,0
80000000,27578,77.580661,274470394,103,6,2926,0
80000000,954,75.290998,457696359,110,6.7,2631,0
75000000,70160,68.550698,691210692,142,6.9,9455,0
80000000,45243,58.040149,254455986,102,6.2,3739,0
80000000,364,59.113174,280000000,126,6.6,1673,0
80000000,7518,36.32705,343397247,83,6.3,1074,0
80000000,11544,55.659988,145771527,85,7.1,1314,1
85000000,9986,14.132583,144000000,97,5.8,288,0
75000000,8656,34.070054,140464664,120,5.9,855,0
84000000,146216,44.34333,0,116,6.4,1526,0
82000000,9291,26.065735,190320568,113,6.2,785,0
75000000,55301,23.473004,342695435,87,5.4,484,0
80000000,109418,45.589568,246984278,100,5.8,1155,0
80000000,11665,23.496054,230685453,110,6,1051,0
80000000,6964,16.939441,266728738,128,6.3,410,0
80000000,11324,81.914696,294804195,138,7.8,6336,1
80000000,12193,19.500893,163733697,88,5.3,331,0
75000000,9928,29.558157,260696994,91,6,1333,0
80000000,754,46.075037,245676146,138,6.8,1583,0
80000000,10202,23.531721,212874442,99,5.9,901,0
80000000,4147,49.078546,181001478,117,7.3,1077,1
80000000,50546,37.02665,214918407,117,6.3,1543,0
75000000,1701,45.154631,224012234,115,6.5,1270,0
80000000,13027,46.887983,178066569,118,6.3,1018,0
79000000,2289,24.598479,173013509,154,6.7,533,0
80000000,20504,32.363538,157107755,118,6.6,2164,0
80000000,9574,11.50396,177977226,93,5.3,695,0
80000000,11618,19.375768,91188905,113,5.2,369,0
80000000,2300,36.125715,250200000,88,6.5,1288,0
0,12096,25.450534,0,93,5.6,550,0
80000000,10200,41.890722,233093859,104,5.2,1043,0
75000000,8834,22.179658,136982834,135,6.5,431,0
68000000,228150,139.575085,211817906,135,7.4,3946,1
70000000,6068,18.264635,164000000,98,5.6,332,0
80000000,41515,11.187696,201584141,80,5.2,220,0
80000000,9023,41.670544,122563539,83,7.4,831,1
80000000,38317,27.46264,169852759,102,5.3,498,0
80000000,2157,17.455024,136159423,130,5,388,0
80000000,14462,21.394281,96105964,129,6.2,393,0
0,161795,0.605645,0,117,8,1,1
80000000,159824,61.692197,473226958,89,6.7,1497,0
80000000,49948,14.530946,90874570,74,7,292,1
80000000,2135,25.978555,123729176,96,5.8,631,0
90000000,9822,6.643778,0,114,5.9,208,0
102000000,9705,36.788745,147080413,99,6.1,932,0
75000000,1656,31.054334,142400065,129,5.9,893,0
85000000,12159,21.891078,71485043,113,6.8,577,0
85000000,9678,18.335992,0,90,5.2,438,0
88000000,4442,40.138009,105316267,118,5.6,818,0
70000000,75,44.090535,101371017,106,6.1,1509,0
0,330770,3.300061,0,81,6.4,47,0
0,9433,20.632673,43312294,117,6.7,349,0
80000000,19959,36.664991,122444772,89,5.9,1195,0
80000000,11973,18.26121,34566746,145,6.9,189,0
80000000,11228,16.681269,159212469,115,5.8,378,0
80000000,77951,10.088006,126546518,87,5.2,133,0
44000000,5491,7.89147,21400000,118,3,255,0
80000000,10715,16.715631,68514844,90,5.6,297,0
80000000,10197,9.357734,53825515,112,5.1,165,0
80000000,9562,11.22268,19480739,116,5.4,318,0
80000000,9922,14.564667,17626234,177,6.1,299,0
90000000,9447,11.356079,69131860,92,5.2,305,0
90000000,274854,52.612025,146936910,106,5.7,1316,0
80000000,8870,13.800656,33463969,106,5.4,267,0
86000000,9992,27.097932,107944236,94,6,639,0
0,36970,10.706613,19406406,84,7.3,111,1
80000000,10077,7.342892,5989640,110,4.8,111,0
130000000,76649,50.561849,117831631,105,5.2,1267,0
8000000,293644,0.719996,0,89,5.3,9,0
60000000,453,59.248437,313542341,135,7.7,3009,1
45000000,8587,90.457886,788241776,89,8,5376,1
79000000,72545,40.723459,355692760,94,5.8,1030,0
78000000,109451,41.247402,248384621,95,6.4,915,0
78000000,9533,10.083905,209196298,124,6.7,1115,0
100000000,2023,16.759252,108103450,136,6.5,318,0
79000000,71880,22.132418,149673788,91,4.1,604,0
76000000,584,10.520961,236350661,107,6.2,2028,0
64000000,309809,35.384423,97571250,92,7.6,756,1
80000000,4858,15.673154,15071514,99,5.7,359,0
76000000,17711,8.981427,35134820,88,3.9,87,0
75000000,328111,31.482872,875958308,87,5.9,3462,0
78000000,8698,47.436675,179265204,110,5.7,1155,0
76000000,93456,136.886704,970761885,98,7,4637,1
75000000,602,60.442593,816969268,145,6.7,3260,0
73000000,330,2.502487,229074524,129,6.2,2487,0
75000000,953,48.110909,532680671,86,6.6,3237,0
76000000,9693,35.387874,69959751,109,7.4,2071,1
75000000,36657,4.66891,296339527,104,6.8,4097,0
75000000,8909,73.82289,258270008,110,6.4,2528,0
75000000,9802,51.469576,335062621,136,6.9,1456,0
80000000,950,85.115058,660940780,91,6.5,2951,0
75000000,1824,61.437586,196482882,99,6.6,2105,0
50000000,2976,31.160542,90450008,117,6.5,709,0
80000000,11026,15.761384,78000586,114,4.7,183,0
75000000,332,17.561955,0,78,4.3,318,0
75000000,75656,71.124686,117698894,115,7.3,5487,1
80000000,38365,38.864027,271430189,102,6,1705,0
60000000,594,57.753914,219417255,128,7,1910,1
35000000,15189,13.25753,73034460,100,5.7,202,0
75000000,11678,13.318744,215663859,124,5.9,283,0
75000000,6538,18.70031,119000410,102,6.5,338,0
75000000,10555,47.094369,367275019,90,5.8,1557,0
70000000,1125,14.486311,154937680,134,6.6,284,0
53000000,4551,18.61472,95226116,118,5.4,292,0
70000000,612,29.035222,130358911,164,6.9,696,0
